id;club-id;trikot-number;player-name;country;total-games;goals;assists
205;11;42;Alexander Hack;D;7;0;0
206;11;2;Gonzalo Jara;RCH;6;0;0
207;11;24;Joo Ho Park;KOR;1;0;0
208;11;5;Henrique Sereno;POR;0;0;0
209;11;10;Yunus Malli;D;32;10;4
210;11;14;Julian Baumgartlinger;A;29;2;1
211;11;17;Jairo;E;29;7;8
212;11;6;Danny Latza;D;27;0;3
213;11;27;Christian Clemens;D;26;5;4
214;11;20;Fabian Frei;CH;16;0;1
215;11;45;Suat Serdar;D;10;0;0
216;11;8;Christoph Moritz;D;7;0;0
217;11;21;Karim Onisiwo;A;7;0;0
218;11;13;Ja-Cheol Koo;KOR;2;0;0
219;11;47;Philipp Klement;D;2;0;0
220;11;11;Maximilian Beister;D;1;0;0
221;11;28;Todor Nedelev;BUL;1;0;0
222;11;29;Devante Parker;D;1;0;0
223;11;19;Elkin Soto;KOL;0;0;0
224;11;25;Niki Zimling;DEN;0;0;0
225;11;15;Pablo de Blasis;ARG;26;4;4
226;11;9;Yoshinori Muto;JAP;20;7;4
227;11;11;Jhon Cordoba;KOL;20;4;1
228;11;31;Florian Niederlechner;D;12;0;0
229;11;11;Emil Berggreen;DEN;0;0;0
230;12;1;Timo Horn;D;32;0;0
231;12;18;Thomas Kessler;D;0;0;0
232;12;37;Daniel Mesenhöler;D;0;0;0
233;12;3;Dominique Heintz;D;31;2;0
234;12;14;Jonas Hector;D;31;0;4
235;12;5;Dominik Maroh;D/SLO;23;2;1
236;12;4;Frederik Sörensen;DEN;21;0;2
237;12;16;Pawel Olkowski;PL;18;0;1
238;12;25;Filip Mladenovic;SER;13;0;2
239;12;19;Mergim Mavraj;D/ALB;10;0;0
240;12;0;Lukas Klünter;D;1;0;0
241;12;7;Marcel Risse;D;31;3;5
242;12;33;Matthias Lehmann;D;31;0;2
243;12;21;Leonardo Bittencourt;D;27;3;3
244;12;31;Yannick Gerhardt;D;27;2;4
245;12;6;Kevin Vogt;D;22;0;2
246;12;8;Milos Jojic;SER;14;1;0
247;12;29;Dusan Svento;SVK;7;1;0
248;12;0;Marcel Hartel;D;5;0;0
249;12;25;Kazuki Nagasawa;JAP;1;0;0
250;12;17;Slawomir Peszko;PL;0;0;0
251;12;27;Anthony Modeste;F;32;14;3
252;12;13;Yuya Osako;JAP;23;1;1
253;12;11;Simon Zoller;D;22;6;1
254;12;15;Philipp Hosiner;A;15;1;0
255;12;26;Bard Finne;NOR;0;0;0
256;17;1;Ramazan Özcan;A;27;0;0
257;17;26;Ørjan Nyland;NOR;5;0;0
258;17;39;Christian Ortag;D;0;0;0
